Week,Sample,Hawea:Start Storage [GWh],Hawea:End Storage [GWh],Hawea:Water Values [$/MWh],Hawea:Res Spill [GWh],Hawea:Res Inflow [GWh],Hawea:Res Release [GWh],Tekapo:Start Storage [GWh],Tekapo:End Storage [GWh],Tekapo:Water Values [$/MWh],Tekapo:Res Spill [GWh],Tekapo:Res Inflow [GWh],Tekapo:Res Release [GWh],Pukaki:Start Storage [GWh],Pukaki:End Storage [GWh],Pukaki:Water Values [$/MWh],Pukaki:Res Spill [GWh],Pukaki:Res Inflow [GWh],Pukaki:Res Release [GWh],Taupo:Start Storage [GWh],Taupo:End Storage [GWh],Taupo:Water Values [$/MWh],Taupo:Res Spill [GWh],Taupo:Res Inflow [GWh],Taupo:Res Release [GWh],WEEKStartDate,Total_Other_Storage,Season,Seasonal_Max_Other_Storage,Total_Other_Storage_Perc,Other_Storage_Level
1,1,145.736,149.511,226.908,0.0,4.623,0.848,479.304,420.782,126.469,0.0,23.778,82.3,1069.452,1040.023,212.994,0.0,68.324,97.752,53.647,29.678,205.182,0.0,49.985,73.954,2020-06-29,1219.21,Unknown,2610.26,0.47,Medium
2,1,149.511,137.24,238.129,0.0,4.536,16.807,420.782,361.891,146.176,0.0,23.291,82.182,1040.023,950.012,228.268,0.0,63.106,153.118,29.678,105.401,304.29,0.0,85.781,10.057,2020-07-06,1192.65,Unknown,2610.26,0.46,Medium
3,1,137.24,119.024,240.204,0.0,3.3,21.516,361.891,291.873,158.234,0.0,12.022,82.039,950.012,869.79,231.163,0.0,62.995,143.216,105.401,68.803,215.608,0.0,42.258,78.857,2020-07-13,1057.62,Unknown,2610.26,0.41,Medium
4,1,119.024,106.883,247.416,0.0,2.471,14.612,291.873,226.76,177.848,0.0,16.734,81.848,869.79,790.289,235.648,0.0,64.192,143.693,68.803,43.392,220.631,0.0,58.138,83.548,2020-07-20,940.56,Unknown,2610.26,0.36,Low
5,1,106.883,95.626,253.338,0.0,2.876,14.133,226.76,159.248,202.232,0.0,14.079,81.591,790.289,694.48,241.278,0.0,57.174,152.984,43.392,1.272,226.911,0.0,41.175,83.295,2020-07-27,791.38,Unknown,2610.26,0.3,Low
6,1,95.626,69.987,262.342,0.0,1.93,27.57,159.248,90.007,227.478,0.0,12.056,81.297,694.48,574.385,250.108,0.0,56.122,176.218,1.272,0.0,323.24,0.0,33.06,34.331,2020-08-03,644.37,Unknown,2610.26,0.25,Low
7,1,69.987,54.0,281.468,0.0,4.997,20.983,90.007,80.53,283.293,0.0,40.609,50.085,574.385,446.814,260.67,0.0,48.484,176.055,0.0,29.329,340.727,0.0,47.128,17.799,2020-08-10,530.14,Unknown,2610.26,0.2,Low
8,1,54.0,57.08,294.313,0.0,3.927,0.848,80.53,79.631,289.46,0.0,21.625,22.524,446.814,303.176,272.369,0.0,22.884,166.522,29.329,34.071,261.738,0.0,60.066,55.323,2020-08-17,394.33,Unknown,2610.26,0.15,Very Low
9,1,57.08,61.713,287.736,0.0,5.481,0.848,79.631,76.482,279.43,0.0,19.376,22.524,303.176,206.413,287.348,0.0,31.439,128.202,34.071,38.618,268.815,0.0,71.096,66.549,2020-08-24,306.74,Unknown,2610.26,0.12,Very Low
10,1,61.713,70.904,288.073,0.0,10.039,0.848,76.482,125.131,282.269,0.0,73.425,24.777,206.413,194.843,301.687,0.0,41.717,53.287,38.618,11.016,249.71,0.0,57.269,84.871,2020-08-31,276.76,Unknown,2610.26,0.11,Very Low
11,1,70.904,51.487,251.836,0.0,6.988,26.405,125.131,63.661,193.451,0.0,17.955,79.424,194.843,201.631,284.356,0.0,66.447,59.659,11.016,0.0,231.769,0.0,44.205,55.221,2020-09-07,253.12,Unknown,2610.26,0.1,Very Low
12,1,51.487,57.114,323.26,0.0,6.474,0.848,63.661,35.944,300.74,0.0,39.684,67.401,201.631,220.762,316.436,0.0,60.667,41.535,0.0,38.803,322.565,0.0,62.231,23.429,2020-09-14,316.68,Unknown,2610.26,0.12,Very Low
13,1,57.114,58.305,321.807,0.0,3.903,2.712,35.944,39.833,368.248,0.0,27.526,23.637,220.762,180.13,313.923,0.0,31.281,71.913,38.803,92.914,321.204,0.0,82.404,28.293,2020-09-21,331.35,Unknown,2610.26,0.13,Very Low
14,1,58.305,63.182,317.206,0.0,5.724,0.848,39.833,33.634,337.882,0.0,17.438,23.637,180.13,154.159,318.317,0.0,30.831,56.802,92.914,111.857,286.991,0.0,62.323,43.379,2020-09-28,329.2,Unknown,2610.26,0.13,Very Low
15,1,63.182,81.854,298.841,0.0,19.52,0.848,33.634,69.831,329.772,0.0,59.347,23.15,154.159,226.0,320.154,0.0,72.364,0.524,111.857,101.999,280.728,0.0,72.916,82.774,2020-10-05,409.85,Unknown,2610.26,0.16,Very Low
16,1,81.854,92.302,263.868,0.0,11.295,0.848,69.831,52.673,225.658,0.0,61.211,78.37,226.0,323.262,287.386,0.0,97.276,0.014,101.999,104.347,218.623,0.0,100.072,97.724,2020-10-12,519.91,Unknown,2610.26,0.2,Low
17,1,92.302,101.012,251.072,0.0,9.558,0.848,52.673,42.968,231.202,0.0,68.757,78.461,323.262,401.071,270.6,0.0,84.374,6.565,104.347,105.073,220.915,0.0,102.179,101.453,2020-10-19,607.16,Unknown,2610.26,0.23,Low
18,1,101.012,90.123,255.05,0.0,6.713,17.602,42.968,10.066,244.254,0.0,45.624,78.527,401.071,471.139,266.106,0.0,84.487,14.419,105.073,75.782,234.885,0.0,72.065,101.355,2020-10-26,637.04,Unknown,2610.26,0.24,Low
19,1,90.123,100.067,318.524,0.0,10.792,0.848,10.066,43.154,420.462,0.0,56.238,23.15,471.139,498.8,294.36,0.0,58.045,30.383,75.782,46.67,296.445,0.0,57.214,86.326,2020-11-02,645.54,Unknown,2610.26,0.25,Low
20,1,100.067,106.192,318.908,0.0,6.972,0.848,43.154,56.831,315.483,0.0,38.425,24.749,498.8,481.797,297.635,0.0,59.155,76.158,46.67,11.339,304.616,0.0,55.311,90.641,2020-11-09,599.33,Unknown,2610.26,0.23,Low
21,1,106.192,99.828,312.464,0.0,6.879,13.242,56.831,28.102,282.401,0.0,50.516,79.244,481.797,492.681,298.256,0.0,122.407,111.523,11.339,0.0,325.113,0.0,35.581,46.921,2020-11-16,592.51,Unknown,2610.26,0.23,Low
22,1,99.828,123.24,323.849,0.0,24.26,0.848,28.102,141.768,346.918,0.0,138.415,24.749,492.681,559.505,298.917,0.0,129.912,63.088,0.0,0.0,418.634,0.0,35.731,35.731,2020-11-23,682.74,Unknown,2610.26,0.26,Low
23,1,123.24,130.545,267.151,0.0,8.153,0.848,141.768,99.808,208.665,0.0,37.672,79.632,559.505,536.975,257.09,0.0,100.707,123.237,0.0,0.0,312.421,0.0,29.364,29.364,2020-11-30,667.52,Unknown,2610.26,0.26,Low
24,1,130.545,144.122,298.493,0.0,14.425,0.848,99.808,100.773,253.091,0.0,80.533,79.568,536.975,574.939,292.232,0.0,123.902,85.937,0.0,4.505,377.859,0.0,40.753,36.248,2020-12-07,723.57,Unknown,2610.26,0.28,Low
25,1,144.122,153.171,269.295,0.0,9.897,0.848,100.773,78.509,244.038,0.0,57.089,79.353,574.939,593.638,273.937,0.0,118.553,99.854,4.505,20.081,352.887,0.0,53.109,37.533,2020-12-14,766.89,Unknown,2610.26,0.29,Low
26,1,153.171,162.296,288.773,0.0,9.972,0.848,78.509,96.617,286.595,0.0,89.525,71.417,593.638,678.665,295.557,0.0,139.33,54.303,20.081,49.6,403.876,0.0,39.576,10.057,2020-12-21,890.56,Unknown,2610.26,0.34,Low
27,1,162.296,174.124,266.69,0.0,12.676,0.848,96.617,128.896,261.85,0.0,96.554,64.276,678.665,820.971,276.175,0.0,157.511,15.205,49.6,97.67,354.621,0.0,58.127,10.057,2020-12-28,1092.76,Unknown,2610.26,0.42,Medium
28,1,174.124,176.91,262.252,0.0,6.715,3.929,128.896,114.224,249.946,0.0,65.032,79.704,820.971,838.178,266.795,0.0,125.839,108.633,97.67,98.43,349.621,0.0,30.257,29.497,2021-01-04,1113.52,Unknown,2610.26,0.43,Medium
29,1,176.91,160.543,285.939,0.0,6.489,22.857,114.224,108.232,290.742,0.0,73.714,79.707,838.178,858.805,294.679,0.0,141.914,121.286,98.43,115.275,411.393,0.0,47.067,30.222,2021-01-11,1134.62,Unknown,2610.26,0.43,Medium
30,1,160.543,145.932,295.428,0.0,6.157,20.767,108.232,91.381,302.535,0.0,54.886,71.736,858.805,841.126,294.529,0.0,114.658,132.338,115.275,141.842,411.36,0.0,49.69,23.123,2021-01-18,1128.9,Unknown,2610.26,0.43,Medium
31,1,145.932,143.242,303.211,0.0,13.166,15.856,91.381,227.875,329.47,0.0,160.269,23.776,841.126,925.218,298.823,0.0,151.226,67.134,141.842,122.511,388.999,0.0,35.116,54.448,2021-01-25,1190.97,Unknown,2610.26,0.46,Medium
32,1,143.242,149.787,283.694,0.0,7.393,0.848,227.875,241.04,227.395,0.0,93.82,80.656,925.218,1072.133,274.307,0.0,219.586,72.671,122.511,132.698,333.201,0.0,59.041,48.854,2021-02-01,1354.62,Unknown,2610.26,0.52,Medium
33,1,149.787,154.553,268.784,0.0,5.613,0.848,241.04,216.323,204.804,0.0,56.294,81.01,1072.133,1102.308,246.357,0.0,120.423,90.248,132.698,121.21,287.603,0.0,41.281,52.769,2021-02-08,1378.07,Unknown,2610.26,0.53,Medium
34,1,154.553,164.979,276.014,0.0,11.274,0.848,216.323,233.801,229.082,0.0,99.028,81.551,1102.308,1190.211,257.729,0.0,150.372,62.47,121.21,98.412,313.781,0.0,36.078,58.876,2021-02-15,1453.6,Unknown,2610.26,0.56,Medium
35,1,164.979,175.961,260.974,0.0,11.829,0.848,233.801,240.803,217.58,0.0,88.74,81.737,1190.211,1359.333,246.176,0.0,193.724,24.601,98.412,91.601,301.835,0.0,38.847,45.658,2021-02-22,1626.9,Unknown,2610.26,0.62,High
36,1,175.961,180.874,241.182,0.0,5.761,0.848,240.803,206.508,201.98,0.0,47.722,82.018,1359.333,1379.683,205.933,0.0,102.582,82.233,91.601,73.508,269.921,0.0,28.847,46.939,2021-03-01,1634.06,Unknown,2610.26,0.63,High
37,1,180.874,183.8,248.037,0.0,3.774,0.848,206.508,160.807,235.478,0.0,36.159,81.86,1379.683,1342.357,233.392,0.0,87.8,125.125,73.508,46.562,304.761,0.0,15.576,42.523,2021-03-08,1572.72,Unknown,2610.26,0.6,High
38,1,183.8,187.658,242.503,0.0,8.452,4.594,160.807,211.857,253.968,0.0,74.061,23.011,1342.357,1316.163,231.236,0.0,89.634,115.828,46.562,74.548,322.881,0.0,42.208,14.222,2021-03-15,1578.37,Unknown,2610.26,0.6,High
39,1,187.658,198.449,230.541,0.0,11.639,0.848,211.857,254.522,215.007,0.0,65.676,23.011,1316.163,1361.87,219.969,0.0,111.755,66.048,74.548,133.733,269.207,0.0,73.947,14.762,2021-03-22,1694.05,Unknown,2610.26,0.65,High
40,1,198.449,205.216,222.403,0.0,7.614,0.848,254.522,264.611,193.255,0.0,63.343,53.254,1361.87,1380.135,210.157,0.0,96.846,78.581,133.733,153.909,239.307,0.0,56.805,36.628,2021-03-29,1739.26,Unknown,2610.26,0.67,High
41,1,205.216,212.959,227.706,0.0,8.591,0.848,264.611,264.314,200.505,0.0,82.278,82.575,1380.135,1452.687,221.464,0.0,135.599,63.047,153.909,171.425,247.026,0.0,60.757,43.241,2021-04-05,1837.07,Unknown,2610.26,0.7,High
42,1,212.959,223.09,208.735,0.0,10.979,0.848,264.314,244.754,185.034,0.0,62.562,82.122,1452.687,1496.266,192.966,0.0,101.293,57.713,171.425,139.874,214.734,0.0,35.151,66.701,2021-04-12,1859.23,Unknown,2610.26,0.71,High
43,1,223.09,232.395,196.735,0.0,10.153,0.848,244.754,284.168,187.086,0.0,63.12,23.706,1496.266,1544.563,177.54,0.0,86.944,38.648,139.874,141.257,209.303,0.0,47.577,46.195,2021-04-19,1918.22,Unknown,2610.26,0.73,High
44,1,232.395,239.757,188.733,0.0,8.209,0.848,284.168,328.279,171.497,0.0,70.188,26.077,1544.563,1528.641,166.619,0.0,59.187,75.11,141.257,135.681,209.282,0.0,46.391,51.967,2021-04-26,1904.08,Unknown,2610.26,0.73,High
45,1,239.757,246.342,192.327,0.0,7.433,0.848,328.279,346.669,168.895,0.0,47.074,28.684,1528.641,1526.178,185.048,0.0,56.534,58.997,135.681,181.743,221.988,0.0,83.845,37.782,2021-05-03,1954.26,Unknown,2610.26,0.75,High
46,1,246.342,263.155,160.142,0.0,17.66,0.848,346.669,369.982,148.037,0.0,92.408,69.095,1526.178,1621.424,164.811,0.0,100.423,5.177,181.743,177.189,178.393,0.0,64.149,68.703,2021-05-10,2061.77,Unknown,2610.26,0.79,High
47,1,263.155,273.759,153.431,0.0,11.452,0.848,369.982,365.798,144.406,0.0,64.917,69.101,1621.424,1688.185,153.831,0.0,98.156,31.395,177.189,179.366,181.549,0.0,72.458,70.281,2021-05-17,2141.31,Unknown,2610.26,0.82,Very High
48,1,273.759,279.979,145.611,0.0,7.068,0.848,365.798,354.321,146.092,0.0,55.9,67.377,1688.185,1716.931,142.038,0.0,87.883,59.137,179.366,224.662,180.149,0.0,94.836,49.539,2021-05-24,2221.57,Unknown,2610.26,0.85,Very High
49,1,279.979,269.597,119.036,0.0,6.669,17.051,354.321,378.149,145.623,0.0,48.646,24.818,1716.931,1688.336,122.488,0.0,48.188,76.784,224.662,254.644,170.585,0.0,70.637,40.654,2021-05-31,2212.58,Unknown,2610.26,0.85,Very High
50,1,269.597,257.275,144.389,0.0,5.957,18.279,378.149,393.761,140.985,0.0,42.912,27.3,1688.336,1621.656,133.74,0.0,42.101,108.78,254.644,234.292,163.878,0.0,44.812,65.164,2021-06-07,2113.22,Unknown,2610.26,0.81,Very High
51,1,257.275,261.557,175.645,0.0,5.129,0.848,393.761,361.917,140.097,0.0,42.21,74.055,1621.656,1613.436,167.958,0.0,68.64,76.86,234.292,201.023,178.161,0.0,38.93,72.199,2021-06-14,2076.02,Unknown,2610.26,0.8,Very High
52,1,261.557,262.48,195.322,0.0,6.231,5.308,361.917,318.798,154.559,0.0,39.164,82.283,1613.436,1576.377,182.091,0.0,72.72,109.778,201.023,189.273,220.048,0.0,45.802,57.552,2021-06-21,2028.13,Unknown,2610.26,0.78,High
53,1,262.48,267.855,193.638,0.0,6.222,0.848,318.798,275.638,165.336,0.0,39.14,82.3,1576.377,1523.706,180.215,0.0,72.701,125.372,189.273,184.129,224.603,0.0,45.706,50.851,2021-06-28,1975.69,Unknown,2610.26,0.76,High
54,1,267.855,250.339,183.703,0.0,5.866,23.382,275.638,234.823,176.11,0.0,41.368,82.182,1523.706,1442.781,176.877,0.0,73.533,154.459,184.129,164.277,219.981,0.0,37.293,57.145,2021-07-05,1857.4,Unknown,2610.26,0.71,High
55,1,250.339,234.588,184.844,0.0,5.747,21.497,234.823,278.901,189.361,0.0,118.042,73.964,1442.781,1331.806,177.557,0.0,64.967,175.942,164.277,161.485,226.198,0.0,55.546,58.338,2021-07-12,1727.88,Unknown,2610.26,0.66,High
56,1,234.588,253.97,183.003,0.0,20.229,0.848,278.901,294.411,163.775,0.0,83.684,68.173,1331.806,1438.33,179.304,0.0,119.342,12.817,161.485,240.58,211.109,0.0,117.783,38.687,2021-07-19,1932.88,Unknown,2610.26,0.74,High
57,1,253.97,249.826,140.117,0.0,19.98,24.123,294.411,273.462,143.672,0.0,54.041,74.99,1438.33,1418.468,148.497,0.0,76.951,96.814,240.58,220.473,139.823,0.0,68.912,89.019,2021-07-26,1888.77,Unknown,2610.26,0.72,High
58,1,249.826,266.096,162.793,0.0,17.118,0.848,273.462,299.646,149.74,0.0,107.481,81.297,1418.468,1458.71,159.023,0.0,98.661,58.419,220.473,214.863,159.143,0.0,76.055,81.665,2021-08-02,1939.67,Unknown,2610.26,0.74,High
59,1,266.096,274.059,107.399,0.0,8.81,0.848,299.646,289.14,127.796,0.0,62.661,73.167,1458.71,1524.245,128.934,0.0,97.272,31.737,214.863,185.973,129.701,0.0,63.834,92.724,2021-08-09,1984.28,Unknown,2610.26,0.76,High
60,1,274.059,280.235,101.559,0.0,7.023,0.848,289.14,311.53,129.601,0.0,44.915,22.524,1524.245,1551.18,119.799,0.0,48.163,21.227,185.973,177.838,132.847,0.0,71.671,79.807,2021-08-16,2009.25,Unknown,2610.26,0.77,High
61,1,280.235,276.84,89.532,0.0,6.65,10.045,311.53,356.849,120.824,0.0,67.842,22.524,1551.18,1537.179,109.35,0.0,38.097,52.098,177.838,225.725,132.811,0.0,118.485,70.598,2021-08-23,2039.74,Unknown,2610.26,0.78,High
62,1,276.84,256.96,89.87,0.0,5.996,25.876,356.849,379.293,107.56,0.0,47.221,24.777,1537.179,1498.026,104.355,0.0,36.828,75.981,225.725,209.719,126.728,0.0,62.77,78.776,2021-08-30,1964.7,Unknown,2610.26,0.75,High
63,1,256.96,242.868,117.988,0.0,13.441,27.533,379.293,335.187,98.264,0.0,35.319,79.424,1498.026,1489.379,116.242,0.0,74.756,83.403,209.719,200.937,141.639,0.0,70.446,79.228,2021-09-06,1933.18,Unknown,2610.26,0.74,High
64,1,242.868,228.591,119.795,0.0,7.361,21.637,335.187,289.437,108.034,0.0,33.212,78.962,1489.379,1429.859,106.45,0.0,75.084,134.604,200.937,180.485,140.138,0.0,55.121,75.573,2021-09-13,1838.94,Unknown,2610.26,0.7,High
65,1,228.591,240.128,123.283,0.0,12.384,0.848,289.437,240.331,118.754,0.0,21.96,71.066,1429.859,1373.394,109.502,0.0,71.095,127.56,180.485,176.12,141.42,0.0,66.813,71.178,2021-09-20,1789.64,Unknown,2610.26,0.69,High
66,1,240.128,248.446,105.742,0.0,9.166,0.848,240.331,239.527,130.367,0.0,22.833,23.637,1373.394,1298.666,106.023,0.0,39.107,113.835,176.12,187.411,140.444,0.0,65.95,54.658,2021-09-27,1734.52,Unknown,2610.26,0.66,High
67,1,248.446,228.235,95.236,0.0,10.059,30.27,239.527,238.661,129.566,0.0,22.284,23.15,1298.666,1225.726,112.979,0.0,40.806,113.747,187.411,207.474,143.316,0.0,72.607,52.544,2021-10-04,1661.44,Unknown,2610.26,0.64,High
68,1,228.235,250.173,130.179,0.0,22.785,0.848,238.661,300.407,139.253,0.0,84.896,23.15,1225.726,1260.0,142.271,0.0,72.178,37.904,207.474,215.103,164.729,0.0,55.731,48.102,2021-10-11,1725.28,Unknown,2610.26,0.66,High
69,1,250.173,251.889,84.613,0.0,9.475,7.758,300.407,332.673,111.909,0.0,55.416,23.15,1260.0,1250.296,111.378,0.0,52.451,62.155,215.103,237.069,144.785,0.0,63.546,41.579,2021-10-18,1739.25,Unknown,2610.26,0.67,High
70,1,251.889,240.46,77.667,0.0,10.416,21.845,332.673,297.398,101.252,0.0,36.632,71.907,1250.296,1261.774,105.271,0.0,85.216,73.738,237.069,198.852,145.031,0.0,28.269,66.487,2021-10-25,1701.09,Unknown,2610.26,0.65,High
71,1,240.46,219.77,96.621,0.0,7.453,28.143,297.398,277.623,116.888,0.0,44.942,64.716,1261.774,1242.711,107.571,0.0,76.792,95.854,198.852,186.537,164.981,0.0,40.991,53.306,2021-11-01,1649.02,Unknown,2610.26,0.63,High
72,1,219.77,225.583,163.365,0.0,6.661,0.848,277.623,255.169,139.632,0.0,56.735,79.19,1242.711,1238.816,151.39,0.0,95.895,99.791,186.537,183.594,206.839,0.0,55.519,58.462,2021-11-08,1647.99,Unknown,2610.26,0.63,High
73,1,225.583,233.137,123.812,0.0,8.401,0.848,255.169,234.477,137.845,0.0,50.58,71.271,1238.816,1198.376,117.526,0.0,88.065,128.505,183.594,190.557,185.43,0.0,57.43,50.467,2021-11-15,1622.07,Unknown,2610.26,0.62,High
74,1,233.137,228.667,119.194,0.0,6.908,11.377,234.477,247.548,146.87,0.0,37.819,24.749,1198.376,1100.587,126.049,0.0,57.925,155.714,190.557,175.258,189.697,0.0,34.991,50.291,2021-11-22,1504.51,Unknown,2610.26,0.58,Medium
75,1,228.667,227.311,174.395,0.0,9.178,10.533,247.548,220.149,160.064,0.0,52.233,79.632,1100.587,1065.95,181.701,0.0,96.823,131.461,175.258,172.943,241.033,0.0,41.89,44.204,2021-11-29,1466.2,Unknown,2610.26,0.56,Medium
76,1,227.311,229.183,182.392,0.0,8.442,6.57,220.149,200.872,172.96,0.0,60.094,79.371,1065.95,1062.061,189.702,0.0,105.519,109.407,172.943,204.913,247.077,0.0,60.98,29.011,2021-12-06,1496.16,Unknown,2610.26,0.57,Medium
77,1,229.183,225.976,174.23,0.0,9.72,12.927,200.872,192.259,181.351,0.0,70.74,79.353,1062.061,1080.931,185.906,0.0,135.48,116.609,204.913,205.42,239.222,0.0,33.549,33.042,2021-12-13,1512.33,Unknown,2610.26,0.58,Medium
78,1,225.976,239.055,186.334,0.0,13.927,0.848,192.259,275.227,190.173,0.0,149.718,66.751,1080.931,1262.363,190.191,0.0,205.446,24.014,205.42,254.023,246.149,0.0,58.659,10.057,2021-12-20,1755.44,Unknown,2610.26,0.67,High
79,1,239.055,254.937,153.94,0.0,16.73,0.848,275.227,372.562,157.847,0.0,122.64,25.305,1262.363,1378.268,154.55,0.0,133.07,17.165,254.023,275.907,225.159,0.0,31.942,10.057,2021-12-27,1909.11,Summer,2610.26,0.73,High
80,1,254.937,261.204,134.653,0.0,8.595,2.329,372.562,367.514,130.547,0.0,74.657,79.704,1378.268,1397.707,139.433,0.0,119.073,99.634,275.907,290.285,225.961,0.0,26.518,12.14,2022-01-03,1949.2,Summer,2610.26,0.75,High
81,1,261.204,259.83,198.183,0.0,7.633,9.007,367.514,342.484,149.872,0.0,54.677,79.707,1397.707,1376.027,202.513,0.0,99.081,120.761,290.285,291.461,267.42,0.0,29.692,28.516,2022-01-10,1927.32,Summer,2610.26,0.74,High
82,1,259.83,265.747,197.943,0.0,6.765,0.848,342.484,350.964,160.416,0.0,88.442,79.963,1376.027,1440.829,207.533,0.0,156.501,91.699,291.461,281.259,264.377,0.0,24.938,35.139,2022-01-17,1987.84,Summer,2610.26,0.76,High
83,1,265.747,277.454,163.06,0.0,12.555,0.848,350.964,363.548,152.54,0.0,92.757,80.173,1440.829,1573.053,173.474,0.0,182.349,50.126,281.259,283.983,240.64,0.0,33.116,30.393,2022-01-24,2134.49,Summer,2610.26,0.82,Very High
84,1,277.454,270.26,158.638,0.0,5.129,12.324,363.548,352.648,151.819,0.0,69.756,80.656,1573.053,1622.715,157.262,0.0,151.721,102.059,283.983,291.736,243.873,0.0,35.484,27.73,2022-01-31,2184.71,Summer,2610.26,0.84,Very High
85,1,270.26,275.386,188.534,0.0,5.974,0.848,352.648,341.619,157.406,0.0,69.98,81.01,1622.715,1632.826,160.964,0.0,157.768,147.656,291.736,302.479,235.626,0.0,39.522,28.78,2022-02-07,2210.69,Summer,2610.26,0.85,Very High
86,1,275.386,277.884,196.167,0.0,3.346,0.848,341.619,310.977,160.549,0.0,50.91,81.551,1632.826,1584.198,165.715,0.0,123.23,171.858,302.479,391.588,229.427,0.0,117.839,28.73,2022-02-14,2253.67,Summer,2610.26,0.86,Very High
87,1,277.884,260.736,180.53,0.0,3.013,20.161,310.977,271.089,169.586,0.0,41.848,81.737,1584.198,1498.09,176.553,0.0,107.224,193.332,391.588,327.352,204.341,0.0,10.206,74.442,2022-02-21,2086.18,Summer,2610.26,0.8,Very High
88,1,260.736,232.883,211.648,0.0,2.417,30.27,271.089,220.653,197.882,0.0,31.582,82.018,1498.09,1405.807,221.669,0.0,92.228,184.511,327.352,275.344,234.327,0.0,34.669,86.677,2022-02-28,1914.03,Summer,2610.26,0.73,High
89,1,232.883,206.636,217.102,0.0,4.024,30.27,220.653,187.974,217.594,0.0,49.18,81.86,1405.807,1353.393,227.514,0.0,100.636,153.049,275.344,219.463,236.016,0.0,23.879,79.761,2022-03-07,1779.49,Summer,2610.26,0.68,High
90,1,206.636,179.836,220.246,0.0,3.471,30.27,187.974,147.092,229.041,0.0,32.792,73.674,1353.393,1286.238,224.863,0.0,85.865,153.02,219.463,159.246,235.547,0.0,26.453,86.67,2022-03-14,1625.32,Summer,2610.26,0.62,High
91,1,179.836,151.936,230.474,0.0,2.37,30.27,147.092,154.711,253.229,0.0,30.718,23.098,1286.238,1162.829,229.909,0.0,50.717,174.126,159.246,81.356,243.428,0.0,10.01,87.899,2022-03-21,1396.12,Summer,2610.26,0.53,Medium
92,1,151.936,140.357,241.202,0.0,3.991,15.57,154.711,183.782,246.029,0.0,52.082,23.011,1162.829,1087.891,236.382,0.0,69.898,144.836,81.356,34.026,257.261,0.0,25.838,73.169,2022-03-28,1262.27,Autum,2610.26,0.48,Medium
93,1,140.357,121.624,231.561,0.0,1.95,20.684,183.782,148.783,220.878,0.0,24.311,59.31,1087.891,976.611,230.298,0.0,63.688,174.968,34.026,0.0,257.852,0.0,27.413,61.439,2022-04-04,1098.23,Autum,2610.26,0.42,Medium
94,1,121.624,116.755,249.674,0.0,7.656,12.525,148.783,161.228,250.397,0.0,65.824,53.379,976.611,919.175,245.476,0.0,91.885,149.321,0.0,23.498,577.089,0.0,33.555,10.057,2022-04-11,1059.43,Autum,2610.26,0.41,Medium
95,1,116.755,123.181,231.741,0.0,7.274,0.848,161.228,179.023,222.303,0.0,76.512,58.717,919.175,893.771,236.624,0.0,93.115,118.519,23.498,9.678,264.602,0.0,29.902,43.723,2022-04-18,1026.63,Autum,2610.26,0.39,Low
96,1,123.181,135.26,226.435,0.0,12.926,0.848,179.023,241.354,211.958,0.0,127.383,65.051,893.771,992.902,236.006,0.0,150.647,51.516,9.678,52.209,303.651,0.0,59.562,17.03,2022-04-25,1180.37,Autum,2610.26,0.45,Medium
97,1,135.26,148.124,205.858,0.0,13.712,0.848,241.354,246.76,172.754,0.0,80.609,75.204,992.902,1113.914,209.039,0.0,129.731,8.719,52.209,26.141,205.644,0.0,47.453,73.522,2022-05-02,1288.18,Autum,2610.26,0.49,Medium
98,1,148.124,156.721,199.06,0.0,9.444,0.848,246.76,248.517,171.541,0.0,84.238,82.481,1113.914,1235.004,198.037,0.0,128.207,7.116,26.141,14.301,197.868,0.0,69.538,81.378,2022-05-09,1406.03,Autum,2610.26,0.54,Medium
99,1,156.721,172.815,189.763,0.0,16.941,0.848,248.517,251.708,162.437,0.0,77.424,74.233,1235.004,1328.383,180.888,0.0,127.619,34.24,14.301,0.0,192.707,0.0,31.078,45.379,2022-05-16,1501.2,Autum,2610.26,0.58,Medium
100,1,172.815,182.685,186.608,0.0,10.718,0.848,251.708,239.192,164.943,0.0,54.628,67.144,1328.383,1389.482,175.847,0.0,101.535,40.436,0.0,0.0,211.31,0.0,33.161,33.161,2022-05-23,1572.17,Autum,2610.26,0.6,High
101,1,182.685,191.759,191.932,0.0,9.921,0.848,239.192,212.333,178.31,0.0,46.999,73.858,1389.482,1386.329,179.728,0.0,88.332,91.484,0.0,31.667,278.262,0.0,52.404,20.737,2022-05-30,1609.76,Autum,2610.26,0.62,High
102,1,191.759,200.897,184.731,0.0,9.986,0.848,212.333,278.431,186.089,0.0,90.013,23.915,1386.329,1390.393,174.864,0.0,66.339,62.275,31.667,32.954,207.628,0.0,46.575,45.288,2022-06-06,1624.24,Autum,2610.26,0.62,High
103,1,200.897,206.53,180.636,0.0,6.481,0.848,278.431,294.746,162.337,0.0,42.621,26.306,1390.393,1342.285,172.169,0.0,46.828,94.937,32.954,24.97,217.536,0.0,33.186,41.169,2022-06-13,1573.78,Autum,2610.26,0.6,High
104,1,206.53,212.102,176.287,0.0,6.419,0.848,294.746,290.959,155.08,0.0,43.213,47.0,1342.285,1312.606,170.827,0.0,56.239,85.917,24.97,136.844,227.734,0.0,123.359,11.484,2022-06-20,1661.55,Autum,2610.26,0.64,High
